"Lon";"Lat"
7421935,07367448;5550640,23537268
7423885,67201055;5547557,66078397
7422698,48152923;5549609,64930853
7429701,32486288;5548911,91424919
7425954,81000133;5545244,28485042
7428400,40080278;5548007,79627303
7424497,0668844;5546357,68861358
7424055,99714491;5547523,13959908
7424321,49468604;5547984,29994398
7424632,2475745;5547827,38974234
7422715,30017704;5548493,53096419
7424042,92383501;5547436,67534278
7424843,70587017;5543844,70514627
7425559,25430869;5545769,59706925
7424632,2475745;5547827,38974234
7427059,81103408;5551123,60628762
7422566,9427688;5548819,33662347
7424738,27919076;5547508,79953441
7424020,85790647;5548231,17671113
7422767,50030485;5547807,91876356
7425287,35713716;5546049,00943027
7431276,94477938;5550094,53483284
7422136,77288807;5548511,00026911
7425901,49915386;5546412,86585007
7424843,70587017;5543844,70514627
7424497,0668844;5546357,68861358
7423925,12060638;5547552,31079074
7430630,92699973;5545124,97005921
7424338,87380566;5547823,88537615
7425684,40602913;5546444,93948517
7424104,87371839;5545221,50666287
7424475,96381359;5546727,90273176
7423096,99690305;5547567,09033217
7424380,05456971;5546520,40550787
7423269,55753794;5550928,00050798
7423958,44202146;5547426,7913486
7422145,41213582;5544965,39626688
7423946,96503312;5547630,89218779
7427171,56011379;5548357,46134303
7423758,29386294;5547589,93778342
7423739,93408868;5547579,33010631
7424216,12526821;5549147,00127095
7423457,75205173;5547865,03992722
7424812,91265817;5548492,4092813
7423805,19596846;5546824,66495673
7423457,43314956;5547924,33042663
7423757,1537379;5547698,02566766
7424472,04081479;5545759,91069632
7422779,78480211;5547090,67413621
7423574,0070792;5546179,75392443
7423806,1722706;5546912,80043121
7429378,94229228;5552565,47840411
7432296,1603574;5542939,18708285
7424843,70587017;5543844,70514627
7421147,80031424;5550440,47855551
7426224,53514776;5543505,94031311
7422641,08491036;5544371,88577427
7424510,03593934;5547176,30365886
7424840,75893446;5546717,61096556
7423756,47591404;5548020,67406767
7426367,75467984;5548022,11046421
7424784,95949549;5548623,51328169
7424005,51622918;5547565,56277945
7431682,36868172;5549679,9741397
7422404,20510678;5550194,13800563
7425946,53632537;5546405,87403871
7425490,45041985;5547246,76350519
7423639,76419421;5547283,50201992
7424428,72508237;5546910,19959972
7424514,56903883;5546465,36039279
7423946,27891489;5547128,82461631
7424343,12303467;5544540,99401445
7423931,89552806;5547639,0579229
7424318,28103198;5547984,96724434
7424084,33588948;5547527,23376355
7423687,24696136;5547618,64970738
7423699,12321582;5546769,04528223
7424321,49468604;5547984,29994398
7428151,72958984;5544722,25246379
7432123,19331883;5548535,76564612
7423494,54512639;5547411,70036766
7424045,63613984;5546946,23348545
7423806,1722706;5546912,80043121
7430794,58101224;5549461,93066502
7423949,15435754;5549028,24944072
7423885,67201055;5547557,66078397
7427845,52428834;5544857,71993619
7425869,70457837;5547740,18267362
7422285,12591188;5548453,97593556
7430904,90584735;5549559,43985361
7424182,9779934;5545345,76229155
7422964,28074502;5546012,83294964
7431282,01977197;5544336,07793302
7423812,77279387;5545339,78456389
7424553,62468699;5546791,14647926
7425634,77821636;5539717,96924406
7427776,9047586;5542030,65927085
7431229,37010529;5549509,20535589
7424626,61006828;5547833,26146082
7424784,95949549;5548623,51328169
7423886,43993698;5547498,32625072
7424626,61006828;5547833,26146082
7423885,72190298;5548915,3500862
7424168,81179476;5545671,07604077
7428906,07002922;5549053,47313949
7427917,50469317;5544843,0459172
7425032,6488807;5541866,34570105
7425908,4061463;5545406,59215031
7429483,52074252;5542572,58081608
7424365,49280386;5546667,24503281
7423171,89736961;5547694,46775792
7424206,04284838;5547622,12070374
7422433,64677927;5543979,55479454
7424595,2328647;5545828,28865377
7422599,28540546;5544293,43304948
7425912,02491117;5547290,75940281
7424910,9485017;5546572,62307456
7430121,94964134;5550436,80429871
7423805,19596846;5546824,66495673
7423924,58984779;5546888,1444403
7424012,15985239;5547528,34960388
7426701,73008675;5548851,00970571
7423674,19525563;5542054,46303387
7423929,1129064;5547502,78524867
7424827,26554424;5547861,08816627
7423479,80561113;5547687,18482111
7424209,01311771;5547982,80215342
7432510,8583687;5550962,78364707
7422994,17539573;5547132,77401753
7422250,18201287;5549183,28931692
7424061,8848161;5547465,43334091
7431032,02306883;5549736,48652826
7423806,1722706;5546912,80043121
7424432,64336124;5546939,50061357
7424418,05009308;5548426,65491446
7423684,8775474;5547109,53401884
7423816,26425609;5547827,7236519
7430266,21539262;5551776,02351933
7423885,67201055;5547557,66078397
7430120,05686306;5550950,44888032
7423712,97477642;5544853,56532481
7421471,58039975;5549787,43408365
7424216,12526821;5549147,00127095
7424786,66682272;5546109,93734432
7424641,12023795;5546600,6661249
7424318,28103198;5547984,96724434
7422258,90487577;5548241,5459104
7419464,61767531;5548322,54935753
7423855,16480892;5547547,73391696
7427044,9748854;5551556,8792374
7422933,62069491;5542328,60036278
7423499,79485779;5547183,80382481
7423756,47662998;5548020,67405746
7421607,42482491;5552954,09970723
7430828,96954325;5542904,25269982
7424321,49468604;5547984,29994398
7424299,74377442;5546752,1656572
7424987,66307568;5541869,39010852
